,intitule,lieu,date,nom_entreprise,description,lien
10,Responsable marketing trafic - CRM - data F/H - Marketing (H/F),grenoble,2022-02-24,Hays France,"Descriptif du poste:
Rattaché à la Directrice Marketing, vous pilotez le pôle Business avec à vos côtés une équipe de 6 collaborateurs engagés (dont 3 personnes en direct). Vos principales missions sont de piloter les analyses marketing (KPIs business, trafic, acquisition et fidélisation) permettant d'aider à la prise de décisions stratégiques. Aussi, vous définissez les budgets business marketing et orientez les allocations budgétaires en fonction des performances. Vous assurez également le respect du budget. Puis, vous définissez et pilotez la mise en place des plans d'actions permettant d'atteindre l'objectif de chiffre d'affaires. Vous encadrez les projets de développement de la marque sur le périmètre business.

Profil recherché:
De formation Bac +5 en Marketing, vous êtes doté d'une expérience significative dans le domaine du e-commerce (5 ans au moins) et plus spécifiquement en CRM et acquisition de trafic. Une expérience en management d'équipe est requise. Doté d'une très bonne capacité d'analyse et de prise de hauteur, vous comprenez les enjeux business et savez les challenger. Vous avez une vision ROIst et vous savez piloter votre budget. Vous possédez une connaissance des outils et canaux d'acquisition web et une connaissance des mécaniques et outils CRM. La connaissance de datastudio serait un plus. Vous savez travailler en équipe, de manière transverse et saurez driver l'équipe dans les projets d'internationalisation. ",https://candidat.pole-emploi.fr/offres/recherche/detail/9772045
11,CHEF DE PROJET DATA / PRODUCT OWNER (H/F),lyon ,2022-02-24,Unknow,"Recherche: CHEF DE PROJET DATA / PRODUCT OWNER (H/F)
Le poste
Notre client est un groupe privé et indépendant qui propose un ensemble de solutions pour les entreprises, de la gestion du risque, à la procédure de conformité et aux données marketing.Aujourd'hui, c'est le fournisseur d'informations d'entreprise le plus utilisé au monde !Dans le cadre d'un remplacement, nous recherchons un  Chef.fe de Projet Data / API : Vos missions :
- Vous contrôlez la qualité des livrables intermédiaires (Cahier des charges, diagramme d'architecture, plan de test, .)- Vous identifiez les risques projets, alertez quand nécessaire et trouvez les solutions adéquates- Vous Pilotez et animez des comités de projets avec les différentes parties prenantes à l'international : Sponsor, Architecture, Utilisateurs, Développeurs.- Vous portez la vision du sponsor et animez l'équipe dédiée- Vous connaissez les contraintes liées aux données (RGPD, Cycle de vie de la donnée.etc.)- Lors d'avant-vente technique vou... ",https://candidat.pole-emploi.fr/offres/recherche/detail/9764529
12,Responsable Data/BI F/H (H/F),villeurbanne,2022-02-23,Unknow,"Pour accompagner sa croissance et son évolution technologique, Opteven renforce sa DSI, précisément son pôle Data et recherche son ou sa responsable Data/BI
 Rattaché(e) à la Directrice Production et Qualité Informatique, vous encadrez un pôle de compétence autour de la data, avec une équipe composée de 10 personnes, afin de délivrer dans le respect des objectifs de délai et de qualité.Vous êtes chargé(e) de la bonne mise à disposition des données dans l'entreprise, ainsi que leur automatisation et leur fiabilité.Vous mettez en œuvre toutes les dispositions nécessaires pour optimiser la vélocité et la cohésion technique de votre équipe en vous appuyant sur l'aide de la direction technique et du RSSI.
 Missions principales du poste : Vous vous attachez à comprendre la stratégie de l'entreprise, les enjeux métier d'Opteven et les besoins des utilisateurs afin de garantir la pertinence de la production de votre équipe.Vous vous appropriez, sans être expert, les outils, standards et bonnes pratiques en vigueur chez Opteven, notamment en termes de sécurité autour de la donnée.Vous faites respecter l'éthique en matière d'usage de la data. Vous conseillez les directions métiers pour permettre la croissance de l'entreprise et la prise de meilleures décisions business grâce aux tendances, opportunités, et risques dégagés
 Vous avez pour mission de : Co-construire la vision puis la roadmap portant sur la stratégie Data de l'entreprise, en collaboration avec les directions métiersDécliner cette roadmap en plan d'actions, découpé en plusieurs livrablesPiloter la mise en œuvre de la roadmap en supervisant la réalisation des différents projets/actionsSuperviser, dans ce cadre, les actions portant sur la mise en œuvre de solutions, et sur l'instauration et le suivi d'une gouvernance sur la qualité des donnéesGarantir avec votre équipe l'implémentation des solutions de Business Intelligence (BI) et analyse de données en partenariat avec le business. Vous harmonisez et centralisez les données.Garantir la cohérence et l'évolution des systèmes d'information, piloter la supervision, la maintenance et la mise en œuvre des évolutionsDéfinir et mettez en place les indicateurs clés de performance (KPI) liées à la data.Mener des audits réguliers pour s'assurer de la qualité et de l'intégrité de la donnée, du bon usage des outils et de la donnée. Vous mettez en place les processus, les normes et la documentation technique nécessaire.Assurer une veille technologique sur les outils de BI et les solutions de gestion de données, les tendances et nouvelles pratiquesParticiper aux projets nécessitant des ressources data et à la planification et ordonnancement des activités BUILD/RUN
 Master en informatique avec une spécialisation en gestion de données ou diplôme d'ingénieur spécialisé en statistique et informatique.Une expérience d'au moins 5 ans en gestion de projets de Business Intelligence sur des Systèmes d'informationUne expérience confirmée en management d'équipe sur des projets data
 Compétences recherchées : Avoir une bonne compréhension des SI exploités : connaissance des matériels, des logiciels, des normes de fichiers, des systèmes d'exploitation, des applications et des liaisons inter applications.Maitrise des langages ainsi que des outils de traitements batch et des échanges de données inter-applicatifs.Maitriser des bases de données et de leur architecturePosséder des connaissances dans le langage d'interrogation et de manipulations des données comme SQL / PostgreSQLAnglais courant
 Qualités requises : Le sens du relationnelCapacité de s'adapter à différents interlocuteurs et travail en transverseFaire preuve d'initiativeAutonome et force de propositionCurieuxÊtre à l'écouteRéactif
 Environnement technique : ETL : Pentaho 5.2, 8.1 et 9. Pentaho ServerJenkinsBase de données : PostgreSQLTableau
 CDIRémunération : en fonction du profil et de l'expérienceA cela s'ajoute un 13è mois et demi calculé au prorata de la présence dans l'entreprise.OPTEVEN assure une prise en charge à hauteur de 60% de l'abonnement des transports en commun (ou une prime de transport)Participation aux contrats mutuelle et prévoyanceParticipation et intéressementCarte restaurantPoste localisé à Lyon Villeurbanne (69)Rejoignez-nous !
 Type d'emploi : CDI
 ",https://candidat.pole-emploi.fr/offres/recherche/detail/9681132
13,Data analyst (BI) H/F,69,2022-02-23,Unknow,"Qui sommes-nous !
 AplusA est un des leaders mondiaux des études de marché dans le domaine de la santé. Au fil des ans, nous avons développé une expertise unique et à la pointe de l'innovation dans tous les domaines thérapeutiques.
 Dans le cadre de son développement AplusA a élargi son offre de service et vous invite à prendre part à cette belle aventure !
 Votre challenge !
 Rattaché(e) au Chef de projets transformation numérique, vos missions principales seront notamment de prendre part à la définition et à la mise en œuvre du chantier de datavisualisation/reporting, l'amélioration des outils et des méthodes de travail, pour les équipes Etudes et Statistiques.
 Vous participerez également à la diffusion des savoir-faire sur les outils de data analyse et de data visualisation (Power Bi, Tableau).
 Vous serez notamment amené à créer des dashboards, et à être un référent technique pour les équipes sur l'utilisation du logiciel Power BI notamment.
 Qui êtes-vous !
 Issu(e) d'une d'une formation type master ou ingénierie SIAD ou d'une formation supérieure en statistiques, vous avez une très bonne maitrise du logiciel Power BI (2 années d'expérience) et du langage DAX (la maitrise de Python et Tableau est un plus). Grâce à votre expérience, vous saurez prendre des initiatives et vous adapter aux demandes de vos clients internes.
 Rigoureux(se) et curieux(se) vous aimez partager vos connaissances et êtes capable de documenter votre travail pour transmettre vos projets. Vous savez travailler en équipe et avez un bon sens relationnel.
 As we are an international company, you have to be able to understand, speak and write in English.
 Rejoignez-nous !
 Si vous vous reconnaissez dans cette annonce, n'hésitez pas à nous adresser votre CV et une lettre de motivation (si vous le souhaitez) à recrute(a)plusaresearch.com sous la référence DABI, Lyon. Nous serons heureux de vous rencontrer !
 Type d'emploi : Temps plein, CDI
 Avantages :
 * Épargne salariale
 * Participation au Transport
 * RTT
 * Titre-restaurant
 Horaires :
 * Du Lundi au Vendredi
 * Travail en journée
 Langue:
 * Anglais (Exigé)
 Télétravail:
 * Oui
 ",https://candidat.pole-emploi.fr/offres/recherche/detail/9680389
14,DATA ANALYST - H/F,chambery,2022-02-23,COMPAGNIE DES ALPES,"Description :


  Pour renforcer son équipe dans les domaines bigdata et business analytics, la CDA recrute un/une Data Analyst.
Le/la Data Analyst intègrera notre équipe basée à Chambéry (73) et reportera au Chief Data Officer au sein de la direction marketing et performance client.
Missions :
Mener des analyses de type « Data Science » (R, Python) constitutives de l'intelligence métier dans les domaines marketing et opérationnel pour les stations de ski,
Modéliser les fonctionnalités avancées que nous souhaitons ajouter à la feuille de route du datalake, comme (liste non exhaustive) :
Modèles de prévision du chiffre d'affaire et Journées Ski
Evolution de la segmentation marketing
Concevoir et déployer des modèles prédictifs pour piloter les activités marketing et business (ex : prédiction du comportement d'achat, l'intention de retour, etc.)
Mise à disposition de profil des clients en fonction de leurs segments marketings
Designer et piloter les campagnes d'AB Testing & Scorecards,
Concevoir (en collaboration avec le Chief Data Officer) des algorithmes de normalisation et nettoyage de données,
Vous êtes apte à intervenir dans un environnement challengeant et dynamique, immergé/e au sein d'équipes pluridisciplinaires (Data Science, Marketing, Big Data, Finances, Opérationnel .) auxquelles vous souhaitez faire bénéficier de votre connaissance technique et fonctionnelle.
  
  
  Profil recherché :
  
  
  Diplôme : Master 2 ou Ingénieur avec spécialité : Mathématiques appliquées et Statistiques ou DataScience, Informatique décisionnelle,
Compétences sur les langages : R, Python, Java,
2 à 3 ans d'expérience professionnelle : expérience (alternance ou stages) dans le domaine de la donnée appliquée au marketing appréciée,
Appétence pour le marketing.
Rigueur, autonomie, très bonnes qualités relationnelles et d'expressions écrite et orale,
Capacités d'analyse et synthèse. Capacités à expliquer la data auprès des marketeurs.
Notre dynamisme et les projets innovants sur lesquels nous évoluons vous offrirons des opportunités motivantes.  Nous saurons vous accompagner dans votre évolution.
Déplacements professionnels ponctuels et de courte durée (journée) pour des sessions de travail à Paris ou dans les stations de ski. ",https://candidat.pole-emploi.fr/offres/recherche/detail/9662991
15,Business Data Analyst (H/F),69,2022-02-23,FED IT,"Vous êtes intéressé(e) pour rejoindre un grand groupe français, acteur majeur dans le domaine de lénergie ?
 
Alexis GOULEVITCH, Consultant chez FED IT, dédié au recrutement des métiers informatiques, recherche pour son client, Grand Groupe français dans le domaine de lénergie et situé à Lyon, un(e) Business Data Analyst dans la cadre dun CDI.

Au sein de léquipe Analyse Marchés et Performance Commerciale du Pole MBA, composée actuellement de 5 personnes, vous êtes garant(e) de la fiabilisation des données, de la mise en place et lamélioration des process liés à ces dernières ainsi que des projets en relations avec les équipes Business et BI.

Votre capacité danalyse, votre sens des priorités ainsi que vos compétence techniques et fonctionnelles autour des données commerciales seront des atouts majeurs pour ce poste afin dêtre en mesure de remplir les missions suivantes :

-Faire évoluer le process de traitement statistiques pour fiabiliser le process et les données,
-Être garant de la bonne intégrité des données Business et assurer la bonne performance de larchitecture data,
-Optimiser et sécuriser le traitement des données à destination des clients internes et externes,
-Centraliser les demandes dévolution des outils danalyse commerciale pour faire linterface avec la DSI et lingénierie commerciale. 
-Benchmarker les solutions Data et BI et être force de proposition quant aux évolutions
-
Rémunération en fonction du profil.

Télétravail possible un jour par semaine

De formation Bac+5 en informatique ou commerce, vous avez au moins une première expérience significative en Business Analyst et dans le travail des données.

Vous pensez correspondre au profil ? Voici les attentes de notre client :
 
-Vous êtes connu(e) pour votre aisance relationnelle aussi bien à lécrit quà loral avec des interlocuteurs métiers (Business) mais également techniques (équipes BI),
-Vous êtes structuré(e), organisé(e) et êtes garant(e) des projets Data liés aux challenges Business,
-Vous aimez vous challenger, être force de proposition, transmettre votre expertise ainsi quapprendre des autres,
-Vous avez une réelle expertise sur lenvironnement technico-fonctionnel suivant : Business Analyse, SQL, Qlick / Myreport (et/ou dautres outils), Excel.

Si votre profil correspond, vous aurez un premier entretien au sein de notre cabinet, si nous ne nous connaissons pas déjà, puis 2 entretiens (RH et opérationnel) seront à prévoir avec le client. ",https://candidat.pole-emploi.fr/offres/recherche/detail/9656767
16,Consultant Data Management F/H (H/F),69,2022-02-23,VISEO,"Vous avez de l'expérience dans la mise en place d'outils de¿DATA Intégration¿?¿¿ Vous étiez à l'initiative ou contributeur de projets de¿mise en place de solutions iPaaS¿?¿¿ Vous êtes familiarisé avec les technologies¿ETL et /ou les modern data platforms¿?¿¿ Dans le cadre de développements de projets Data, vous accompagnerez nos¿clients autour de la mise en place de¿solutions¿IPaaS/Middleware¿: Talend , Boomi ou encore Mulesoft.
 Vos missions : 
 Analyser¿les besoins des utilisateurs «¿métiers¿» Rédiger¿les spécifications fonctionnelles et techniques (du général au détaillé), Participer¿à la phase de préparation aux développements (installation/ configuration, environnement, modélisation, paramétrage, connexion.) Mettre en œuvre¿les développements autour de la solution IPaaS (construction d'API, de webservices, contrôle, nettoyage, transformation, mise en qualité des données, gestion des référentiels, des transcodifications., des logs, des rejets, du monitoring de flux...) Bâtir ou contribuer¿à la stratégie des tests et de la recette utilisateurs autour des processus d'intégration Assister¿à la constitution des jeux de tests Mener¿les tests techniques et les tests d'intégration et vérifier la cohérence fonctionnelle des données en collaboration avec les référents métiers Assister¿à la recette utilisateurs et, éventuellement, à la mise en production et au premier cycle de production 
 Votre profil : Vous possédez une¿expérience significative¿(3 ans minimum pour un profil confirmé et 5 à 6 ans minimum pour un profil sénior) sur tout ou partie des activités décrites précédemment, en particulier sur les phases de¿conception et de développement¿de projets (intégration de données, intégration d'applications et API management). Une expérience acquise autour d'actions concrètes d'optimisation (technique ou fonctionnelle) serait un plus. Vous maîtrisez tout ou partie¿: d'une ou plusieurs des solutions IPaaS,  des solutions Cloud  AWS, Azure, GCP permettant de gérer data flow/data transformation/ Api Management:¿ Vous êtes à l'aise en conception et en développement dans des contextes d'interfaces et d'échanges inter-applicatifs ou d'alimentation de systèmes décisionnels «¿nouvelle génération¿». L'utilisation¿d'outils de reporting / data visualisation (Power BI, Tableau...)¿est également appréciable.¿ Vous appréciez la relation client (interlocuteur technique, contact utilisateur.) et possédez un véritable sens du service avec cette double compétence technico-fonctionnelle. Vous êtes rigoureux(se), dynamique et doté(e) d'une curiosité, d'une agilité et d'un esprit d'équipe vous permettant de vous adapter à différents contextes. Intégrer nos équipes DATA Management au quotidien, ça veut dire quoi ?¿¿¿ Vous ferez partie¿de¿la communauté Data Cloud¿: la proximité et la taille humaine de notre organisation vous permettront de rendre visible vos initiatives et d'évoquer facilement vos projets. En parallèle, le dynamisme de l'entreprise et sa croissance¿perpétuelle¿multiplieront vos opportunités d'évolution.¿¿ Vous¿bénéficierez d'un management de proximité¿par votre mentor tout au long de votre parcours chez VISEO¿:¿Votre mentor, consultant expérimenté de votre practice, viendra régulièrement échanger avec vous sur les challenges de votre mission, faire chaque semestre le bilan de vos réalisations et évoquer vos ambitions futures et les moyens de les réaliser.¿¿ Vous disposerez de multiples moyens pour¿monter en compétences¿et découvrir de nouveaux domaines : formations, certifications, Brown Bag Lunchs, ateliers,¿meet-ups, rencontre d'experts, séminaires techniques.¿¿¿ #VISEOSPIRIT Des projets en¿équipe agile¿sur¿des¿technologies up to date¿et dans divers secteurs d'activités¿¿ Un¿management flat¿qui encourage la communication¿et¿la prise d'initiative¿ Des¿centres¿d'excellence¿en¿IoT / Smart¿Factory /Data¿ Des missions d'audit, d'expertise technique¿ Du¿temps¿pour tester de nouvelles technologies ou méthodologies Deux jours de télétravail par semaine¿¿ Des¿locaux agréables¿(des douches pour les sportifs, une terrasse en¿rooftop, des consoles et borne d'arcade, une salle de repos, des murs pour écrire et plein d'autres choses .).¿ N'attendez plus, rejoignez VISEO. Devenez un #PositiveDigitalMaker !¿  ",https://candidat.pole-emploi.fr/offres/recherche/detail/9655156
17,Développeur Deep Learning F/H (H/F),69,2022-02-23,Unknow,"Présentation de l'entreprise : 
 COWORK Engineering est une société de conseil spécialisée en management de projets industriels et expertise technique. Née de la volonté d'être un véritable partenaire de développement aux cotés de nos clients industriels (Transport, Energie, Infrastructures, Médical & Pharmaceutique), COWORK Engineering capitalise sur la mutualisation des compétences de nos experts et la proximité géographique pour apporter une réponse complète à leurs projets. Nouvellement créée, nous vous offrons l'opportunité de participer à une véritable aventure humaine dans laquelle chacun jouera un rôle nécessaire au développement de COWORK Engineering.
 Descriptif du poste : 
 Au sein d'une équipe projet multidisciplinaire, fonctionnant en mode Agile (Scrum), vous interviendrez en tant que développeur sur la partie Deep Learning en lien avec l'équipe traitement d'image. Votre compétence en système, en développement Python, et en algorithmie de traitement d'images sont des atouts pour intégrer nos équipes.
 Description du profil : 
 Votre diplôme d'ingénieur en poche (Informatique, Informatique industriel .) vous justifiez d'une première expérience réussie (min 2 ans) qui vous a permis de développer vos compétences en :
 * Environnement Windows (10),
 * Python (IDE Visual studio 2019)
 * C++ (IDE Visual studio 2019, Eclipse)
 * Keras, TensorFlow, OpenCV,
 * Deep Learning, Machine Learning, Optimisation,
 * Traitement d'images,
 Une expérience dans le traitement d'image et dans le C#, ainsi qu'un bon niveau d'anglais seraient des atouts supplémentaires.
 Dans le cadre de votre expérience vous savez faire preuve de qualité rédactionnel, relationnel et de communication.
 Nous recherchons une personne qui aime travailler en équipe dans une dynamique de projet.
 Type d'emploi : Temps plein, CDIStatut : Cadre
 Salaire : 38 000,00€ à 42 000,00€ par an
 Avantages :
 * Participation au Transport
 Horaires :
 * Travail en journée
 ",https://candidat.pole-emploi.fr/offres/recherche/detail/9678822
18,CDI DATA MARKETING MANAGER (H/F),st martin d uriage,2022-02-22,Unknow,"Recherche: CDI DATA MARKETING MANAGER (H/F)
DÉVELOPPEMENT D'ACTIVITÉ ET PILOTAGE DE MISSIONSApporter une forte valeur ajoutée sur la vision stratégique et une expertise réelle sur la performance dataContribuer au développement de \""go-to-market\"" liés aux nouveaux outils en cours de constructionVendre, soutenir auprès des clients et prospects les nouveaux go-to-marketEtre une interface stratégique auprès des clients et prospectsPiloter les missions liées à l'optimisation de la performance marketing :élaboration de dashboards de performance clientdéfinition de plans d'action marketing multi-leviersélaboration de business plans (allocations budgétaires et ROI)pilotage opérationnels des plans d'action multi-leviersCONDUITE DU CHANGEMENT
Représenter l'expertise au sein de l'agence et en externePromouvoir les nouveaux outils et \""go-to-market\"" au sein de l'agenceOrganiser des actions de sensibilisation / formation auprès des différentes cellulesEn fonction du développement de l'activi... ",https://candidat.pole-emploi.fr/offres/recherche/detail/9603046
19,DATA ANALYST - (H/F),epagny metz tessy,2022-02-22,Unknow,"Recherche: DATA ANALYST - (H/F)
Vos missions .
- S'approprier les business model & data model pour extraire les données via les outils, faire l'analyse
- Contrôler la qualité et la cohérence des données au sein du data model
- Etre l'interlocuteur des opérationnels et de la Direction sur le data model, sur les dashboards et leur analyse
- Etre force de proposition dans la création de dashboards de suivi à destination des différents services
- Apporter des recommandations sur les bases de données et le data model à modifier
- Assurer le suivi quotidien des KPI Groupe via les dashboards existants et à venir
- Analyser en profondeur les KPI Groupe
- Synthétiser et rendre accessible les informations pour les différents services
Vos avantages.
CDI temps plein 38H - Team building trimestriel pour se retrouver.
Rémunération attractive selon profil et expérience
Tickets restaurant- Mutuelle Prévoyance =>prise en charge totale
Localisation : En périphérie d'Annecy - 74 (Auvergne-Rhône-A... ",https://candidat.pole-emploi.fr/offres/recherche/detail/9601724
20,PRODUCT OWNER DATA PROCESS (H/F),lyon ,2022-02-22,Unknow,"Recherche: PRODUCT OWNER DATA PROCESS (H/F)
Détail de l'offre Informations générales Entité de rattachement Chez Inetum, l'innovation est au cœur de notre ADN.
Notre démarche d'innovation, nous la bâtissons avec nos clients et partenaires.
Nous adressons, à la fois, les enjeux business, organisationnels ou sociétaux.
Notre vision c'est Une innovation pragmatique qui rejoint son marché.
Avec nos clients, nous revisitons les difficultés, les opportunités ou les besoins d'évolution qu'ils rencontrent dans leur métier.
our cela le groupe dispose de 7 Fab. Labs (Paris, Lyon, Nantes, Madrid, Lisbonne, Gand, Casablanca), lieux dédiés à l'acculturation, l'idéation et la co-innovation où nous recevons nos partenaires et clients pour inventer ensemble les solutions de demain (IA, XR, Social Robotics....
.
os 120 collaborateurs aux profils complémentaires (Chercheurs, ingénieurs, développeurs, consultants....
 travaillent à construire des solutions pour répondre aux cas d'usage sans réponse ... ",https://candidat.pole-emploi.fr/offres/recherche/detail/9590131
21,Consultant Data confirmé H/F Lyon,69,2022-02-22,Unknow,"Contexte
En pleine transformation digitale, les grands comptes du secteur de Lyon font appel à notre entité afin de concevoir des solutions adaptées aux enjeux de demain.
Dans ce contexte, nous recherchons notre futur Consultant Data H/F pour intégrer nos équipes de Lyon pilotées par Xavier LAFAURE.
Vous disposez d'une expérience d'au moins 3 ans en qualité de consultant(e) Data.
Votre rôle
Vous serez intégré au sein de notre Service Line Data Value et vous interviendrez sur les différentes phases d'un projet BI/Big Data:
-Acquisition des données
-Stockage optimisé
-Traitements et analyses
-Mise en forme et développement de rapports/dashboards
Vous proposerez des nouvelles lectures de données via un travail de fouille sur les gisements d'information, notamment client.
Dans votre quotidien, vous contribuerez au partage et à la capitalisation des savoirs et des pratiques au sein de la communauté data de Capgemini.
L'environnement Technique
-
DataHub :
-ETL (Talend, Informatica ou SSIS),
-Traitement de données Spark, Python, Scala.
-Bases de données (Oracle, SQL Server, Postgres),
-Datalake / Big Data : Horton Works, Cloudera, ELK,.Data Viz & IA / Machine Learning :-Qlik, Tableau, Power BI
-Python, R ",https://candidat.pole-emploi.fr/offres/recherche/detail/9583219
22,DATASCIENTIST    (H/F),rillieux la pape,2022-02-22,XEFI LYON,"MISSIONS: 
Le data scientist (H/F) aura pour mission d'aider au développement informatique d'un outil de mesure et de réduction de l'empreinte carbone dans le domaine du numérique en collaboration avec l'équipe GREEN IT.
Il/elle aura pour missions :
Déterminer et développer l'architecture de l'outil jusqu'à finalisation et mise en place concrète de l'outil de mesure.
Identification et gestion du flux d'info « Empreinte Carbone » de l'entreprise; création de bases de données, connexion des flux dans les outils de pilotage et développement d'outils BI en propre
Travailler à la mise en place d'un algorithme de calcul en « back end »
Construire une relation de proximité avec les différents départements fournisseurs d'info et les clients externes
Contribuer au développement de la Business Unit GreenIT et à la montée en compétence du groupe sur les sujets « carbone » et développement durable en général.

PROFIL:
Vous avez idéalement une formation supérieure d'école d'ingénieur ou une première expérience en data sciences et développement. 
Vous avez également des compétences en management, modélisation et extrapolation de données. Vous maîtrisez la technologie ETL et les systèmes d'information.
Vous avez une connaissance des méthodes agiles/scrum de gestion de projet.
Vous avez une capacité à travailler à un niveau macro et micro, vous possédez une réelle autonomie et capacité à avoir une vision globale des flux d'information et de leur gestion.
Vous êtes positif adoptant une posture en faveur du Business et de la RSE, avec une volonté de s'investir sur des projets porteurs.",https://candidat.pole-emploi.fr/offres/recherche/detail/128MVGM
